id,number,external_id,title,plot,poster,season_id,inserted_at,updated_at
12,12,23786,Broadway Malady,"Broadway legend Rita Bristol and her daughter star in a musical produced by her son, not knowing that murder is lurking in the wings.",4Gp2vqbS5XyFyx0nX4SLNzsZSAB.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
133,1,23879,Trials & Tribulations,Jessica is blamed for the death of an escapee who was wrongly convicted.,3ggVxdxWnnwmyYu3oDQHONrWoHw.jpg,7,2020-12-13 11:40:01,2021-04-21 18:21:48
13,13,23805,Murder to a Jazz Beat,"While in New Orleans, Jessica must solve the mysterious murder of a famous musician who died while performing onstage.",3WPVowt2y64rLn47cQS8KoS7gE1.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
14,14,23806,My Johnny Lies Over the Ocean,Jessica's niece is terrorized on a cruise intended to take her mind off her husband's recent death...or is he dead?,wWPJOyCZMlX2zZKSaANukD1fTCG.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
15,15,23807,Paint Me a Murder,The life of a famous artist is threatened on what would be otherwise an idyllic Mediterranean island.,wwC3YpPFKxcph2jD1RwAbItnqo.jpg,1,2020-12-13 11:39:59,2021-04-21 18:21:48
16,16,23787,Tough Guys Don't Die,Jessica meets Harry McGraw and they figure out which one of three cases may contain the motive for the death of a private detective. One dates back 25 years.,j3p5kqm4E2URC2A44uFM4iDO5nc.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
17,17,23808,Sudden Death,Jessica suddenly must learn all about football when she inherits an interest in a professional team.,uo7kN207oRfTHCAOK5r5IXxikVY.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
18,18,23809,Footnote to Murder,An unpublished manuscript is stolen and its author murdered during an awards convention.,9TaA4GzjSCSHvyso5CJlvHCyEjz.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
19,19,23810,Murder Takes the Bus,"Bus trips are not always as relaxing as they should be. In this case, one passenger had a one-way ticket.",Ik3vICpfJ0zvph7L7WEIEd1Mej.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
20,20,23811,Armed Response,"Over Jessica's protests, she is taken to a hospital after a minor accident in the airport.",6i5ndMzVKMAQiD1VgGMNmUByljY.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
21,21,23812,Murder at the Oasis,An unpopular show-business personality discovers that elaborate security systems are no guarantee of safety.,fqRZBVrF3mdAEbRWstR7eFiLLsr.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
22,22,23813,Funeral at Fifty-Mile,"A Wyoming rancher leaves all to an ill-fated stranger, to the disgust of his disinherited daughter.",46PyaZ4dT7BrcoNUQGPchEOs65V.jpg,1,2020-12-13 11:40:00,2021-04-21 18:21:48
83,17,23793,A Very Good Year for Murder,The Gambini family gathers to celebrate the 75th birthday of the patriarch and a murder.,wPtAb3FZqI7wrNefcef2rXoqCnO.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
84,18,23873,Benedict Arnold Slipped Here,Someone wants the old historic house enough to kill for it and its supposed hidden treasure AND Jessica is executor of the late owner's will.,cLyudzvB9YIu2cL7w11iqoPPee.jpg,4,2020-12-13 11:40:01,2021-04-21 18:21:48
73,7,23865,"If It's Thursday, It Must Be Beverly","When Deputy Martin becomes a widower by murder, the investigation turns up some surprising activity.",dGEitlnWdhnJHeSKnvZa0I4qndF.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
74,8,23866,Steal Me a Story,The special effects used by a TV producer are a real bomb.,8hqzxUUvtIjS8Hni36iAxrKYg5G.jpg,4,2020-12-13 11:40:00,2021-04-21 18:21:48
